data,iter,n,m,p,s4pm,agraph,glmnet,s4pm_time,agraph_time
CASP,1,45730,200,9,0.844503596505635,0.865379974064281,0.914811204275566,17.585,9.834
CASP,2,45730,200,9,0.835452385896612,0.839656382829158,0.865322769743883,13.958,9.187
CASP,3,45730,200,9,0.900386967113692,0.917455099818847,0.943384260117806,13.996,8.93000000000001
CASP,4,45730,200,9,0.899579703846552,0.895014695846555,0.952908810201938,12.848,9.006
CASP,5,45730,200,9,0.887352881322931,0.875667183948325,0.851068653720017,13.142,8.97
CASP,6,45730,200,9,0.862754437077578,0.865355871847718,0.902020947304819,13.595,9.44800000000001
CASP,7,45730,200,9,0.898725267371954,0.894366569777874,0.944776560771716,14.225,9.29900000000001
CASP,8,45730,200,9,0.845788443134856,0.8830827998259,0.895613584795021,13.408,8.56
CASP,9,45730,200,9,0.844097296132889,0.845889016671128,0.902956518200982,13.769,9.036
CASP,10,45730,200,9,0.857397874150074,0.861217865019148,0.905656766157632,13.8,9.483
